date,city,rainfall_mm,temperature
2025-12-24,Hyderabad,48.8,20.1
2025-12-25,Hyderabad,0.0,19.9
2025-12-26,Hyderabad,0.0,20.3
2025-12-27,Hyderabad,0.0,20.8
2025-12-28,Hyderabad,0.0,20.2
2025-12-29,Hyderabad,0.0,20.5
2025-12-30,Hyderabad,0.0,20.9
2025-12-23,Ichalkaranji,0.0,21.2
2025-12-24,Ichalkaranji,0.0,21.0
2025-12-25,Ichalkaranji,0.0,20.8
2025-12-26,Ichalkaranji,0.0,20.4
2025-12-27,Ichalkaranji,0.0,21.4
2025-12-28,Ichalkaranji,0.0,21.0
2025-12-29,Ichalkaranji,0.0,21.4
2025-12-30,Ichalkaranji,0.0,21.6
2025-12-23,Imphal,0.0,13.8
2025-12-24,Imphal,0.0,13.8
2025-12-25,Imphal,0.0,13.4
2025-12-26,Imphal,0.0,13.3
2025-12-27,Imphal,0.0,13.8
2025-12-28,Imphal,0.0,13.9
2025-12-29,Imphal,0.0,12.8
2025-12-30,Imphal,0.0,12.6
2025-12-23,Indore,0.0,18.8
2025-12-24,Indore,0.0,18.2
2025-12-25,Indore,0.0,17.6
2025-12-26,Indore,0.0,16.8
2025-12-27,Indore,0.0,16.4
2025-12-28,Indore,0.0,16.7
2025-12-29,Indore,0.0,16.9
2025-12-30,Indore,0.0,17.0
2025-12-23,Jabalpur,0.0,16.8
2025-12-24,Jabalpur,0.0,17.6
2025-12-25,Jabalpur,0.0,16.9
2025-12-26,Jabalpur,0.0,16.6
2025-12-27,Jabalpur,0.0,15.9
2025-12-28,Jabalpur,0.0,15.2
2025-12-29,Jabalpur,0.0,15.9
2025-12-30,Jabalpur,0.0,15.8
2025-12-23,Jaipur,37.3,20.6
2025-12-24,Jaipur,48.1,17.5
2025-12-25,Jaipur,0.0,15.9
2025-12-26,Jaipur,0.0,16.2
2025-12-27,Jaipur,0.0,15.2
2025-12-28,Jaipur,0.0,16.4
2025-12-29,Jaipur,49.3,17.2
2025-12-30,Jaipur,0.0,16.7
2025-12-23,Jalandhar,0.0,15.8
2025-12-24,Jalandhar,0.0,15.1
2025-12-25,Jalandhar,0.0,13.1
2025-12-26,Jalandhar,0.0,14.2
2025-12-27,Jalandhar,0.0,13.1
2025-12-28,Jalandhar,0.0,11.9
2025-12-29,Jalandhar,0.0,11.6
2025-12-30,Jalandhar,0.0,11.9
2025-12-23,Jalgaon,0.0,20.5
2025-12-24,Jalgaon,0.0,20.1
2025-12-25,Jalgaon,0.0,20.0
2025-12-26,Jalgaon,0.0,20.6
2025-12-27,Jalgaon,0.0,21.5
2025-12-28,Jalgaon,0.0,20.9
2025-12-29,Jalgaon,0.0,20.5
2025-12-30,Jalgaon,0.0,20.0
2025-12-23,Jalna,0.0,19.9
2025-12-24,Jalna,0.0,19.0
2025-12-25,Jalna,0.0,19.2
2025-12-26,Jalna,0.0,19.4
2025-12-27,Jalna,0.0,20.1
2025-12-28,Jalna,0.0,19.7
2025-12-29,Jalna,0.0,19.4
2025-12-30,Jalna,0.0,19.5
2025-12-23,Jamshedpur,46.4,18.1
2025-12-24,Jamshedpur,0.0,18.6
2025-12-25,Jamshedpur,0.0,16.6
2025-12-26,Jamshedpur,0.0,16.6
2025-12-27,Jamshedpur,50.2,16.6
2025-12-28,Jamshedpur,0.0,17.2
2025-12-29,Jamshedpur,0.0,16.9
2025-12-30,Jamshedpur,0.0,16.9
2025-12-23,Junagadh,0.0,23.1
2025-12-24,Junagadh,0.0,22.8
2025-12-25,Junagadh,0.0,22.6
2025-12-26,Junagadh,0.0,22.0
2025-12-27,Junagadh,0.0,22.1
2025-12-28,Junagadh,0.0,22.9
